,video,release,video_start,video_end
0,1,3466.666667,2466.666666666667,6966.666666666667
1,2,13833.33333,12833.333333333334,17333.333333333336
2,3,20066.66667,19066.666666666668,23566.666666666668
3,4,29433.33333,28433.333333333332,32933.33333333333
4,5,38166.66667,37166.666666666664,41666.666666666664
5,6,45566.66667,44566.666666666664,49066.666666666664
6,7,55666.66667,54666.666666666664,59166.666666666664
7,8,66466.66667,65466.66666666667,69966.66666666667
8,9,72066.66667,71066.66666666666,75566.66666666666
9,10,77700,76700,81200
10,11,91033.33333,90033.33333333333,94533.33333333333
11,12,94866.66667,93866.66666666666,98366.66666666666
12,13,103333.3333,102333.33333333333,106833.33333333333
13,14,108400,107399.99999999999,111899.99999999999
14,15,114100,113100,117600
15,16,125900,124899.99999999999,129399.99999999999
