                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5838,                 1.4899,                 1.6688,                0.64077,                0.62847,                0.61698,                0.30119,                 1.4696,                 14.256,                 1.7184,               0.070054,              0.0033273,              0.0033273
                      2,                 1.3904,                 1.1562,                 1.5322,                0.78824,                0.71426,                0.77753,                0.45635,                 1.0065,                 4.5253,                 1.3292,               0.040041,              0.0066474,              0.0066474
                      3,                 1.2768,                 1.0027,                 1.4487,                 0.6395,                0.62396,                0.72713,                0.43395,                 1.2172,                 1.5956,                  1.405,               0.010015,              0.0099544,              0.0099544
                      4,                 1.2302,                0.92735,                 1.4106,                0.86984,                0.77354,                0.85095,                0.50393,                 1.0873,                  1.713,                 1.2917,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1724,                0.84203,                 1.3723,                 0.9067,                0.78444,                0.87315,                 0.5463,                0.86482,                 1.4255,                 1.2083,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1559,                0.81137,                  1.355,                0.88906,                0.83113,                0.88383,                0.56229,                0.77406,                 1.9968,                 1.1362,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1004,                0.74574,                 1.3042,                0.90395,                0.85421,                0.90617,                0.58137,                0.94443,                0.97798,                 1.1978,               0.009901,               0.009901,               0.009901
                      8,                 1.1002,                0.74081,                 1.3031,                0.97684,                0.84328,                0.92001,                0.58649,                0.82221,                 3.2692,                 1.1545,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0946,                 0.7131,                 1.2959,                0.85217,                0.85567,                0.88943,                0.57272,                0.80565,                0.92563,                 1.1338,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.0381,                0.67688,                 1.2548,                0.89295,                0.88621,                0.92116,                0.59963,                0.74948,                 1.7595,                 1.0724,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0475,                0.67684,                 1.2666,                0.91401,                0.91135,                0.95448,                0.57942,                0.86327,                0.61521,                 1.1321,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0459,                0.65816,                 1.2629,                0.91484,                0.78598,                0.87442,                0.55553,                0.86076,                 2.5754,                 1.0929,               0.009802,               0.009802,               0.009802
                     13,                  1.002,                0.63581,                 1.2281,                0.97246,                0.87513,                0.95044,                 0.6297,                0.74308,                0.71819,                 1.0494,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.0078,                0.63565,                 1.2351,                 0.9512,                 0.8856,                0.94004,                0.63214,                0.77943,                 0.9456,                 1.0709,              0.0097624,              0.0097624,              0.0097624
                     15,                0.97843,                0.62144,                 1.2156,                0.91011,                0.94212,                0.95494,                0.64233,                0.76647,                0.85485,                 1.0275,              0.0097426,              0.0097426,              0.0097426
                     16,                0.96922,                0.59381,                 1.1999,                 0.9487,                0.90183,                0.95524,                0.62349,                0.85629,                 0.9512,                 1.0808,              0.0097228,              0.0097228,              0.0097228
                     17,                0.99588,                 0.6311,                 1.2137,                0.96105,                0.90076,                0.92935,                0.62475,                0.73821,                0.67306,                  1.018,               0.009703,               0.009703,               0.009703
                     18,                0.96821,                0.58709,                 1.2039,                0.97901,                0.89267,                0.94707,                0.62864,                0.78418,                0.77086,                 1.0415,              0.0096832,              0.0096832,              0.0096832
                     19,                0.95892,                0.58143,                 1.1901,                0.94663,                0.90952,                0.94564,                0.65244,                 0.6981,                 0.8113,                 1.0011,              0.0096634,              0.0096634,              0.0096634
                     20,                0.96096,                0.58347,                 1.1971,                 0.9612,                0.91858,                0.96104,                0.65917,                0.68625,                0.91485,                0.99864,              0.0096436,              0.0096436,              0.0096436
                     21,                 0.9529,                0.57488,                 1.1848,                0.94285,                0.92733,                0.96459,                0.64493,                0.68023,                 1.0676,                 1.0006,              0.0096238,              0.0096238,              0.0096238
                     22,                0.93218,                0.57294,                 1.1769,                 0.9598,                0.92784,                0.95544,                0.65799,                0.70741,                0.66522,                 1.0026,               0.009604,               0.009604,               0.009604
                     23,                0.92466,                 0.5558,                  1.184,                0.96573,                0.90453,                0.96516,                0.65295,                0.69631,                0.64334,                0.99685,              0.0095842,              0.0095842,              0.0095842
                     24,                0.91652,                 0.5448,                 1.1699,                 0.9914,                0.93624,                0.96525,                0.64918,                0.67845,                0.55301,                 0.9877,              0.0095644,              0.0095644,              0.0095644
                     25,                0.92537,                0.54025,                 1.1689,                0.96562,                 0.9249,                0.95118,                0.62411,                0.66869,                0.64778,                 1.0049,              0.0095446,              0.0095446,              0.0095446
                     26,                0.92666,                0.54361,                 1.1704,                0.96936,                0.93252,                0.96694,                0.66676,                0.66238,                0.47327,                0.99795,              0.0095248,              0.0095248,              0.0095248
                     27,                0.90068,                0.52327,                 1.1565,                0.93467,                0.92218,                0.95536,                0.63911,                0.68256,                0.80104,                0.98766,               0.009505,               0.009505,               0.009505
                     28,                0.90685,                0.52363,                  1.154,                0.97913,                0.94176,                0.97536,                0.66863,                0.68528,                0.47489,                0.98467,              0.0094852,              0.0094852,              0.0094852
                     29,                 0.9144,                0.52584,                 1.1676,                0.96827,                0.92784,                0.97033,                0.63837,                0.70136,                 0.7241,                 0.9928,              0.0094654,              0.0094654,              0.0094654
                     30,                0.91592,                0.53815,                 1.1695,                0.97215,                0.93442,                0.96766,                0.67429,                0.64441,                0.49093,                0.96684,              0.0094456,              0.0094456,              0.0094456
                     31,                0.88114,                0.50816,                 1.1447,                0.95937,                0.93027,                0.95632,                 0.6669,                0.64871,                 0.5625,                0.95848,              0.0094258,              0.0094258,              0.0094258
                     32,                 0.8854,                0.52337,                 1.1453,                0.95636,                0.92461,                0.95231,                0.64677,                 0.6644,                0.47109,                0.99162,               0.009406,               0.009406,               0.009406
                     33,                0.87707,                0.50222,                 1.1478,                0.97269,                0.91428,                0.96241,                0.66442,                0.65439,                0.47621,                0.98787,              0.0093862,              0.0093862,              0.0093862
                     34,                0.89596,                 0.5109,                 1.1581,                0.97272,                 0.9228,                0.96789,                0.69126,                 0.6176,                0.51229,                0.97003,              0.0093664,              0.0093664,              0.0093664
                     35,                0.89972,                0.52042,                 1.1562,                0.96741,                0.92762,                0.96494,                 0.6738,                0.66412,                0.43881,                0.98345,              0.0093466,              0.0093466,              0.0093466
                     36,                0.88248,                0.51111,                  1.148,                0.97768,                0.94662,                0.97695,                0.67909,                0.64041,                0.43046,                0.96799,              0.0093268,              0.0093268,              0.0093268
                     37,                0.86517,                0.48294,                 1.1349,                0.94906,                0.92637,                0.96223,                0.66441,                0.62066,                0.52881,                0.96095,               0.009307,               0.009307,               0.009307
                     38,                0.86162,                0.48749,                 1.1379,                 0.9617,                0.92344,                0.96994,                0.67994,                0.64398,                 0.5678,                0.95929,              0.0092872,              0.0092872,              0.0092872
                     39,                0.85827,                0.48393,                 1.1383,                0.95174,                 0.9249,                0.95687,                0.66218,                0.60406,                0.59187,                0.95521,              0.0092674,              0.0092674,              0.0092674
                     40,                0.86709,                0.49272,                 1.1351,                 0.9618,                0.94029,                 0.9799,                0.67606,                 0.6439,                0.49514,                0.95831,              0.0092476,              0.0092476,              0.0092476
                     41,                0.85894,                0.48829,                 1.1316,                0.97128,                0.94176,                0.97091,                0.67244,                0.63324,                0.56484,                0.95459,              0.0092278,              0.0092278,              0.0092278
                     42,                0.85579,                0.47838,                 1.1285,                0.96786,                0.92981,                0.97303,                0.67749,                0.62763,                0.54853,                 0.9527,               0.009208,               0.009208,               0.009208
                     43,                0.86028,                0.48425,                 1.1291,                 0.9739,                0.94434,                0.96785,                0.66739,                 0.6054,                0.81336,                0.94976,              0.0091882,              0.0091882,              0.0091882
                     44,                0.84473,                0.47167,                 1.1206,                0.96303,                0.93189,                0.96694,                  0.678,                0.62801,                0.59581,                0.96054,              0.0091684,              0.0091684,              0.0091684
