epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4457,0.86447,0.91113,1.04837,0.87343,0.78763,0.89499,0.53474,0.83589,0.57156,1.05259,0.000552258,0.000552258,0.000552258
2,102.528,0.91678,0.60393,1.08098,0.98113,0.49597,0.59558,0.41499,0.84473,0.65438,1.11124,0.00109696,0.00109696,0.00109696
3,152.867,0.91296,0.60246,1.06744,0.45735,0.85029,0.4924,0.39427,0.77353,7.91987,1.02219,0.00163065,0.00163065,0.00163065
4,204.06,0.91808,0.57189,1.05857,0.90108,0.90218,0.9164,0.55799,0.81693,0.49652,1.02275,0.00161749,0.00161749,0.00161749
5,254.549,0.87447,0.52075,1.05114,0.69126,0.88053,0.79931,0.52083,0.73608,0.4725,0.98418,0.00160099,0.00160099,0.00160099
6,303.077,0.86419,0.50306,1.02951,0.84688,0.87097,0.86455,0.5684,0.7096,0.4499,0.98301,0.00158448,0.00158448,0.00158448
7,353.757,0.8339,0.48087,1.01871,0.84317,0.90413,0.90386,0.5959,0.70253,0.38273,0.97762,0.00156798,0.00156798,0.00156798
8,403.812,0.84052,0.47921,1.01959,0.9331,0.91483,0.906,0.60457,0.67903,0.35814,0.96198,0.00155148,0.00155148,0.00155148
9,447.59,0.82526,0.4536,1.02412,0.74207,0.78763,0.79912,0.54943,0.69994,0.35143,0.95583,0.00153497,0.00153497,0.00153497
10,485.262,0.81564,0.45134,1.00733,0.77771,0.88755,0.8585,0.53253,0.69641,0.42187,0.97508,0.00151847,0.00151847,0.00151847
11,522.89,0.79606,0.44069,1.00745,0.95256,0.87097,0.93712,0.61242,0.66134,0.35341,0.9502,0.00150197,0.00150197,0.00150197
12,560.684,0.77438,0.4227,0.99374,0.95041,0.90511,0.90037,0.58817,0.72639,0.35573,0.96038,0.00148546,0.00148546,0.00148546
13,598.207,0.76935,0.41458,0.98486,0.94766,0.89392,0.92172,0.61814,0.67527,0.32479,0.9467,0.00146896,0.00146896,0.00146896
14,635.856,0.75668,0.39781,0.98666,0.9665,0.91263,0.95032,0.61756,0.66546,0.33275,0.94721,0.00145246,0.00145246,0.00145246
15,673.531,0.77197,0.42103,0.99286,0.94906,0.91263,0.93988,0.5943,0.70312,0.35965,0.94823,0.00143595,0.00143595,0.00143595
16,712.184,0.74227,0.41123,0.98103,0.9404,0.87097,0.85741,0.58887,0.67206,0.33252,0.95104,0.00141945,0.00141945,0.00141945
17,750.786,0.75509,0.40004,0.99378,0.88092,0.94402,0.93391,0.62299,0.68132,0.31842,0.96589,0.00140295,0.00140295,0.00140295
18,790.354,0.74237,0.40252,0.97426,0.87716,0.8293,0.87538,0.60576,0.6773,0.32522,0.95057,0.00138644,0.00138644,0.00138644
19,829.504,0.73225,0.38493,0.97634,0.96806,0.91667,0.94913,0.64543,0.67697,0.34548,0.95192,0.00136994,0.00136994,0.00136994
20,868.868,0.75002,0.39207,0.98828,0.97773,0.91263,0.95375,0.60402,0.64265,0.30206,0.94768,0.00135344,0.00135344,0.00135344
21,908.113,0.73069,0.37584,0.96976,0.93602,0.95337,0.94877,0.62445,0.64955,0.31439,0.93249,0.00133693,0.00133693,0.00133693
22,947.372,0.71458,0.37162,0.96097,0.93241,0.91263,0.93196,0.60218,0.64893,0.31282,0.93525,0.00132043,0.00132043,0.00132043
23,986.661,0.72488,0.37141,0.96025,0.98363,0.91333,0.92461,0.61882,0.67914,0.31691,0.95689,0.00130393,0.00130393,0.00130393
24,1026.03,0.70848,0.37065,0.9599,0.99767,0.93728,0.95728,0.60815,0.63961,0.31041,0.93377,0.00128742,0.00128742,0.00128742
25,1065.38,0.69557,0.36004,0.95356,0.88686,0.8293,0.82183,0.56954,0.62138,0.29256,0.92947,0.00127092,0.00127092,0.00127092
26,1104.64,0.69251,0.36512,0.9581,0.94976,0.9543,0.94063,0.62925,0.65665,0.29739,0.93263,0.00125442,0.00125442,0.00125442
27,1143.91,0.70119,0.36327,0.95572,0.98907,0.9543,0.96616,0.6491,0.65122,0.30307,0.94501,0.00123791,0.00123791,0.00123791
28,1183.28,0.69732,0.36575,0.95317,0.88334,0.91744,0.90781,0.60245,0.6671,0.3253,0.95398,0.00122141,0.00122141,0.00122141
29,1222.5,0.68312,0.3619,0.95173,0.98325,0.91263,0.9342,0.67337,0.61948,0.2906,0.92249,0.00120491,0.00120491,0.00120491
30,1261.96,0.68964,0.35624,0.95404,0.9509,0.9543,0.95544,0.6471,0.63394,0.29461,0.92719,0.0011884,0.0011884,0.0011884
31,1301.19,0.67766,0.33982,0.9499,0.96913,0.9543,0.957,0.63425,0.64933,0.28323,0.94013,0.0011719,0.0011719,0.0011719
32,1340.49,0.69986,0.36211,0.95848,0.98719,0.91263,0.95138,0.60304,0.64915,0.29315,0.93587,0.0011554,0.0011554,0.0011554
33,1379.82,0.68162,0.35118,0.94764,0.9574,0.9565,0.95375,0.64209,0.64799,0.28791,0.93009,0.00113889,0.00113889,0.00113889
34,1419.26,0.68911,0.34619,0.95287,0.95095,0.91263,0.93602,0.59356,0.65866,0.29402,0.94304,0.00112239,0.00112239,0.00112239
35,1458.47,0.6712,0.34492,0.94095,0.94759,0.91263,0.95279,0.63245,0.64368,0.28534,0.93148,0.00110589,0.00110589,0.00110589
36,1497.83,0.65873,0.34026,0.94182,0.94306,0.91263,0.9136,0.58798,0.6425,0.28236,0.94096,0.00108938,0.00108938,0.00108938
37,1537.08,0.66876,0.34257,0.94436,0.95204,0.95148,0.95776,0.66819,0.62817,0.287,0.9413,0.00107288,0.00107288,0.00107288
38,1576.44,0.67253,0.33525,0.94271,0.91159,0.90807,0.89947,0.66356,0.62404,0.27492,0.92779,0.00105638,0.00105638,0.00105638
39,1615.76,0.65914,0.33058,0.94839,0.99236,0.9543,0.96094,0.66537,0.65312,0.2833,0.94225,0.00103987,0.00103987,0.00103987
