epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.675,1.39016,1.35607,1.37683,0.77209,0.67352,0.72241,0.40076,1.42812,12.3215,1.73707,0.0700721,0.00332532,0.00332532
2,203.284,1.26923,0.96481,1.27682,0.80245,0.73052,0.82424,0.43626,1.30046,3.92227,1.29594,0.0400589,0.00664547,0.00664547
3,300.108,1.20685,0.86716,1.23022,0.93345,0.71287,0.86248,0.53373,0.9605,2.74149,1.09316,0.0100325,0.00995242,0.00995242
4,396.268,1.12039,0.76231,1.18886,0.91473,0.88909,0.95165,0.63527,0.7971,1.16213,1.00917,0.0099406,0.0099406,0.0099406
5,492.472,1.0666,0.69926,1.16299,0.97156,0.90098,0.95585,0.64969,0.75889,1.11725,0.99181,0.0099208,0.0099208,0.0099208
6,588.682,1.0409,0.65866,1.1342,0.91012,0.94784,0.96774,0.62678,0.81765,1.60047,1.00326,0.009901,0.009901,0.009901
7,684.705,1.02674,0.64731,1.14033,0.96588,0.92004,0.95405,0.64944,0.78958,0.51253,0.97504,0.0098812,0.0098812,0.0098812
8,780.749,0.99281,0.60792,1.11463,0.90817,0.94532,0.96432,0.67442,0.68358,1.02992,0.96436,0.0098614,0.0098614,0.0098614
9,877.176,0.98526,0.5889,1.11684,0.97261,0.94769,0.96716,0.6789,0.73172,0.54667,0.95941,0.0098416,0.0098416,0.0098416
10,973.405,0.96608,0.56692,1.09419,0.94878,0.95193,0.97976,0.67498,0.7794,0.56821,0.96879,0.0098218,0.0098218,0.0098218
11,1069.37,0.94695,0.56283,1.09289,0.95411,0.92035,0.96734,0.68362,0.74465,0.61831,0.96963,0.009802,0.009802,0.009802
12,1165.71,0.94347,0.55454,1.09236,0.96292,0.93194,0.96952,0.65545,0.70898,0.56713,0.93964,0.0097822,0.0097822,0.0097822
13,1261.7,0.93445,0.54059,1.08438,0.993,0.9224,0.97604,0.69971,0.7136,0.47714,0.93898,0.0097624,0.0097624,0.0097624
14,1358.01,0.91337,0.53284,1.07773,0.95976,0.95413,0.97738,0.69103,0.69562,0.44154,0.95881,0.0097426,0.0097426,0.0097426
15,1454.09,0.92033,0.52928,1.07857,0.96962,0.93653,0.96542,0.6893,0.64417,0.42588,0.93032,0.0097228,0.0097228,0.0097228
16,1550.28,0.89535,0.50689,1.06675,0.95256,0.93777,0.96087,0.67793,0.68192,0.52168,0.92698,0.009703,0.009703,0.009703
17,1646.43,0.91021,0.52218,1.07608,0.9784,0.94366,0.97455,0.66045,0.86186,0.51843,0.97873,0.0096832,0.0096832,0.0096832
18,1742.61,0.89427,0.49807,1.06033,0.97243,0.94727,0.98199,0.70813,0.62342,0.39277,0.91906,0.0096634,0.0096634,0.0096634
19,1838.87,0.88086,0.49815,1.05389,0.97167,0.93461,0.96745,0.6844,0.65475,0.41006,0.92904,0.0096436,0.0096436,0.0096436
20,1935.06,0.8655,0.48718,1.05365,0.97879,0.94842,0.97754,0.70722,0.62431,0.47181,0.92467,0.0096238,0.0096238,0.0096238
21,2031.27,0.87042,0.48337,1.05542,0.95638,0.96284,0.97951,0.70142,0.62678,0.41886,0.92265,0.009604,0.009604,0.009604
22,2127.26,0.86282,0.48109,1.04829,0.98916,0.93206,0.98358,0.69387,0.67545,0.38364,0.92687,0.0095842,0.0095842,0.0095842
23,2223.51,0.84916,0.47774,1.04884,0.97142,0.96621,0.97406,0.69721,0.60768,0.50955,0.90557,0.0095644,0.0095644,0.0095644
24,2319.7,0.84948,0.47529,1.04744,0.95673,0.95121,0.97202,0.70654,0.63445,0.43367,0.92138,0.0095446,0.0095446,0.0095446
25,2415.85,0.83339,0.4588,1.03898,0.93999,0.96305,0.96565,0.70105,0.61111,0.4838,0.91899,0.0095248,0.0095248,0.0095248
26,2512.14,0.8303,0.45295,1.03837,0.99198,0.93653,0.98239,0.70883,0.59928,0.40435,0.91008,0.009505,0.009505,0.009505
27,2608.37,0.81858,0.44143,1.02486,0.96175,0.95254,0.97915,0.71544,0.63579,0.34467,0.91393,0.0094852,0.0094852,0.0094852
28,2704.75,0.81526,0.44972,1.03278,0.98469,0.93607,0.97422,0.72395,0.58593,0.40576,0.89815,0.0094654,0.0094654,0.0094654
29,2801.23,0.81127,0.43546,1.02522,0.94779,0.92443,0.93762,0.67632,0.6167,1.17459,0.91429,0.0094456,0.0094456,0.0094456
30,2897.44,0.80855,0.44232,1.02947,0.97452,0.94918,0.98265,0.70558,0.61173,0.43126,0.91477,0.0094258,0.0094258,0.0094258
31,2993.57,0.80616,0.44177,1.02531,0.97889,0.95196,0.97328,0.71702,0.60443,0.33229,0.90302,0.009406,0.009406,0.009406
32,3089.8,0.80996,0.43764,1.03029,0.94176,0.94968,0.97259,0.69838,0.62448,0.4086,0.9099,0.0093862,0.0093862,0.0093862
33,3186.22,0.79861,0.43636,1.01702,0.97369,0.95561,0.98255,0.71084,0.59358,0.35809,0.89986,0.0093664,0.0093664,0.0093664
34,3282.34,0.79286,0.42496,1.01335,0.96795,0.97238,0.97376,0.72281,0.61906,0.34525,0.90916,0.0093466,0.0093466,0.0093466
35,3378.65,0.7937,0.42458,1.02188,0.94159,0.96893,0.97274,0.72092,0.61078,0.35995,0.91103,0.0093268,0.0093268,0.0093268
36,3474.79,0.78321,0.42185,1.01213,0.92285,0.94972,0.95483,0.70067,0.62719,0.50205,0.91998,0.009307,0.009307,0.009307
37,3570.97,0.77099,0.41613,1.00841,0.96398,0.95626,0.97177,0.70464,0.59024,0.32457,0.89697,0.0092872,0.0092872,0.0092872
38,3668.75,0.76658,0.41869,1.007,0.96026,0.9656,0.97597,0.70263,0.60104,0.33682,0.9004,0.0092674,0.0092674,0.0092674
39,3764.87,0.77501,0.41204,1.01022,0.96692,0.96497,0.97868,0.72786,0.59264,0.32257,0.90456,0.0092476,0.0092476,0.0092476
40,3861.12,0.777,0.42019,1.01198,0.97118,0.96234,0.9739,0.726,0.57727,0.33877,0.89597,0.0092278,0.0092278,0.0092278
41,3957.32,0.76917,0.41987,1.01241,0.98132,0.94779,0.97083,0.7108,0.58924,0.3325,0.8977,0.009208,0.009208,0.009208
42,4053.33,0.7445,0.40813,0.99552,0.99177,0.94288,0.98097,0.72874,0.58078,0.32524,0.90474,0.0091882,0.0091882,0.0091882
43,4149.61,0.75858,0.40626,1.00426,0.98079,0.95945,0.98196,0.72847,0.58335,0.31666,0.90006,0.0091684,0.0091684,0.0091684
44,4245.83,0.74963,0.39995,0.99968,0.97037,0.97262,0.98615,0.73096,0.58089,0.31772,0.90196,0.0091486,0.0091486,0.0091486
45,4342.24,0.75103,0.40711,0.99769,0.98533,0.95626,0.98738,0.72964,0.58516,0.29165,0.89751,0.0091288,0.0091288,0.0091288
46,4438.48,0.74265,0.39567,1.00243,0.97656,0.9431,0.98176,0.72424,0.57813,0.33321,0.89239,0.009109,0.009109,0.009109
47,4534.65,0.74701,0.40164,1.00106,0.98631,0.95413,0.97823,0.72088,0.58526,0.32776,0.89836,0.0090892,0.0090892,0.0090892
48,4630.84,0.73388,0.39259,0.9922,0.97976,0.94968,0.98283,0.72739,0.5769,0.35849,0.89654,0.0090694,0.0090694,0.0090694
49,4726.96,0.73605,0.39308,0.99295,0.97156,0.96082,0.98334,0.7334,0.57692,0.2916,0.89883,0.0090496,0.0090496,0.0090496
50,4823.27,0.73531,0.38902,0.99401,0.99262,0.94968,0.98308,0.73579,0.5626,0.29721,0.89015,0.0090298,0.0090298,0.0090298
51,4919.69,0.72911,0.38822,0.98805,0.9969,0.95733,0.98451,0.73502,0.58858,0.30246,0.89312,0.00901,0.00901,0.00901
52,5015.74,0.72823,0.38672,0.99167,0.98281,0.96261,0.98085,0.73784,0.57321,0.3134,0.89519,0.0089902,0.0089902,0.0089902
53,5112.08,0.72406,0.37926,0.98837,0.99469,0.96261,0.9784,0.7333,0.5616,0.26966,0.89804,0.0089704,0.0089704,0.0089704
54,5208.33,0.69899,0.37378,0.97356,0.98291,0.97048,0.97742,0.7227,0.57235,0.29441,0.89974,0.0089506,0.0089506,0.0089506
55,5304.6,0.71286,0.38053,0.98591,0.97557,0.95589,0.97602,0.73093,0.5737,0.29547,0.89172,0.0089308,0.0089308,0.0089308
56,5400.81,0.71345,0.37708,0.98275,0.98534,0.95392,0.97157,0.7223,0.56387,0.27914,0.89679,0.008911,0.008911,0.008911
57,5497.11,0.6973,0.37448,0.97454,0.97136,0.95756,0.98067,0.73385,0.55939,0.31494,0.89127,0.0088912,0.0088912,0.0088912
58,5593.26,0.71387,0.38102,0.98871,0.9693,0.96177,0.97182,0.72951,0.57132,0.27471,0.89508,0.0088714,0.0088714,0.0088714
59,5689.62,0.71791,0.38216,0.98563,0.98351,0.95536,0.98272,0.72437,0.56801,0.27417,0.89701,0.0088516,0.0088516,0.0088516
60,5785.72,0.69201,0.3676,0.97215,0.98969,0.96245,0.97939,0.73387,0.56661,0.2854,0.88932,0.0088318,0.0088318,0.0088318
61,5881.98,0.68625,0.36625,0.97536,0.98151,0.94727,0.97431,0.72681,0.56188,0.324,0.88814,0.008812,0.008812,0.008812
62,5978.17,0.6892,0.3659,0.97837,0.97989,0.96393,0.98039,0.72971,0.57444,0.27755,0.89568,0.0087922,0.0087922,0.0087922
63,6074.36,0.69212,0.37187,0.97575,0.96678,0.97049,0.98011,0.74479,0.56944,0.28821,0.89095,0.0087724,0.0087724,0.0087724
64,6170.87,0.68818,0.36329,0.97034,0.96781,0.94982,0.97827,0.72332,0.56771,0.34198,0.8888,0.0087526,0.0087526,0.0087526
65,6267.07,0.68113,0.36253,0.97308,0.98216,0.94862,0.97697,0.73704,0.5592,0.28175,0.88831,0.0087328,0.0087328,0.0087328
66,6363.28,0.68401,0.36278,0.96942,0.973,0.95839,0.97549,0.73191,0.55839,0.27941,0.88885,0.008713,0.008713,0.008713
67,6459.54,0.67745,0.35742,0.96702,0.98141,0.94755,0.97478,0.73637,0.55381,0.27641,0.88798,0.0086932,0.0086932,0.0086932
68,6555.77,0.67176,0.35164,0.96634,0.98275,0.9552,0.97858,0.72842,0.5746,0.27821,0.89534,0.0086734,0.0086734,0.0086734
69,6652.04,0.66813,0.35482,0.96702,0.97622,0.95749,0.97476,0.73711,0.56144,0.27489,0.89018,0.0086536,0.0086536,0.0086536
70,6748.38,0.68412,0.36357,0.97098,0.97103,0.95895,0.96865,0.72441,0.56615,0.28833,0.89182,0.0086338,0.0086338,0.0086338
71,6844.67,0.65928,0.35034,0.96243,0.98692,0.95234,0.97652,0.74178,0.55998,0.28006,0.88466,0.008614,0.008614,0.008614
72,6940.83,0.66662,0.35267,0.9685,0.9796,0.95582,0.97656,0.74174,0.55022,0.26438,0.88182,0.0085942,0.0085942,0.0085942
73,7037.28,0.65604,0.34944,0.96143,0.98146,0.96177,0.9747,0.73471,0.55701,0.26728,0.88864,0.0085744,0.0085744,0.0085744
74,7133.48,0.65603,0.34881,0.96365,0.97758,0.96247,0.97153,0.72963,0.55914,0.26181,0.89297,0.0085546,0.0085546,0.0085546
75,7229.8,0.66322,0.35172,0.96462,0.97687,0.95624,0.97997,0.73572,0.55888,0.25821,0.89444,0.0085348,0.0085348,0.0085348
76,7326.03,0.65118,0.34411,0.9547,0.96649,0.96315,0.97888,0.73518,0.55933,0.27353,0.89711,0.008515,0.008515,0.008515
77,7422.28,0.65199,0.34804,0.95707,0.98825,0.95413,0.97077,0.73296,0.54979,0.26219,0.89017,0.0084952,0.0084952,0.0084952
78,7518.56,0.64272,0.34163,0.95168,0.98866,0.95733,0.97377,0.73552,0.54918,0.25636,0.88319,0.0084754,0.0084754,0.0084754
79,7614.78,0.65588,0.34852,0.96381,0.97862,0.96284,0.9705,0.72951,0.55667,0.28925,0.88987,0.0084556,0.0084556,0.0084556
80,7711.01,0.63958,0.33853,0.95407,0.96986,0.96284,0.9785,0.74085,0.54746,0.27291,0.8807,0.0084358,0.0084358,0.0084358
81,7807.2,0.63973,0.34067,0.9555,0.97489,0.95789,0.97391,0.73501,0.55691,0.26345,0.8893,0.008416,0.008416,0.008416
82,7903.45,0.64509,0.34582,0.95779,0.97505,0.96391,0.97465,0.73484,0.56604,0.27488,0.89213,0.0083962,0.0083962,0.0083962
83,7999.72,0.63406,0.33422,0.94584,0.98855,0.94717,0.9767,0.74209,0.55239,0.25534,0.88464,0.0083764,0.0083764,0.0083764
