epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8631,1.25367,1.08974,1.20057,0.7422,0.73207,0.80413,0.44816,1.07818,2.02683,1.20817,0.0700679,0.00332579,0.00332579
2,81.5412,1.24181,0.91696,1.2353,0.63681,0.82161,0.84906,0.513,1.0466,1.82329,1.17323,0.0400547,0.00664594,0.00664594
3,118.036,1.1291,0.79902,1.17923,0.88798,0.79628,0.85476,0.53506,1.00802,2.81881,1.21492,0.0100283,0.00995289,0.00995289
4,153.7,1.07188,0.71996,1.14969,0.9221,0.9021,0.93395,0.6033,0.87529,1.10365,1.07918,0.0099406,0.0099406,0.0099406
5,189.909,1.0016,0.65666,1.11751,0.92545,0.88875,0.93744,0.5936,0.82454,0.60663,1.05232,0.0099208,0.0099208,0.0099208
6,225.909,1.00861,0.64644,1.11756,0.92104,0.91616,0.92582,0.60469,0.75303,1.20149,1.04594,0.009901,0.009901,0.009901
7,262.027,0.96384,0.61628,1.09613,0.92405,0.93719,0.95557,0.63716,0.77957,0.53196,1.03392,0.0098812,0.0098812,0.0098812
8,297.858,0.93273,0.59376,1.0788,0.96654,0.92605,0.96972,0.653,0.76619,0.46529,1.00637,0.0098614,0.0098614,0.0098614
9,333.97,0.91395,0.5797,1.0721,0.96626,0.92115,0.96385,0.64626,0.72703,0.46284,1.00224,0.0098416,0.0098416,0.0098416
10,370.436,0.91458,0.5654,1.07139,0.95085,0.93787,0.95708,0.66179,0.71517,0.64346,0.99971,0.0098218,0.0098218,0.0098218
11,406.347,0.9046,0.5559,1.07079,0.96659,0.91147,0.95865,0.64698,0.69287,0.4528,0.97766,0.009802,0.009802,0.009802
12,442.242,0.88012,0.53619,1.05809,0.95224,0.9251,0.95172,0.66606,0.75174,0.42166,0.99107,0.0097822,0.0097822,0.0097822
13,477.865,0.88832,0.5292,1.06163,0.96861,0.94598,0.96619,0.66121,0.75339,0.4266,0.99505,0.0097624,0.0097624,0.0097624
14,513.8,0.87071,0.52487,1.05473,0.94926,0.9365,0.96928,0.65979,0.70746,0.39854,0.97468,0.0097426,0.0097426,0.0097426
15,549.788,0.85687,0.51898,1.04544,0.92667,0.92436,0.95439,0.66817,0.69888,0.47937,0.97622,0.0097228,0.0097228,0.0097228
16,585.361,0.8534,0.50569,1.05357,0.92724,0.94355,0.96009,0.66834,0.67575,0.47454,0.97764,0.009703,0.009703,0.009703
